g22user_story_1226_AND_user_story_1254@0@g22@1226@As a researcher, I want to indicate where my data will be stored during the project and where after the project, so that it remains accessible during all stages of the data lifecycle.@1254@As a rector, I want to know how many data will be stored, so that I can plan long term resources.@1@0@1@False@False@True@False
g22user_story_1261_AND_user_story_1262@23@g22@1261@As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.@1262@As a researcher, I want to link research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.@5@0@5@False@False@False@True
g22user_story_1268_AND_user_story_1269@24@g22@1268@As an IT officer, I want to #know# #how secure# data is, so that I can ensure legal compliance.@1269@As a funder, I want to #know# #how secure# data is, so that I can ensure legal compliance.@2@1@1@True@False@False@True
g22user_story_1268_AND_user_story_1275@25@g22@1268@As an IT officer, I want to #know# #how secure# data is, so that I can ensure legal compliance.@1275@As a PI, I want to #know# #how secure# data is, so that I can ensure legal compliance.@2@1@1@True@False@False@True
g22user_story_1269_AND_user_story_1275@26@g22@1269@As a funder, I want to #know# #how secure# data is, so that I can ensure legal compliance.@1275@As a PI, I want to #know# #how secure# data is, so that I can ensure legal compliance.@2@1@1@True@False@False@True
g22user_story_1270_AND_user_story_1271@27@g22@1270@As a Research Centre Director, I want to #receive# #regular summary reports# of research data, so that I understand trends in data use among staff and postgraduate students.@1271@As a Postgraduate Convenor, I want to #receive# #regular summary reports# of research data, so that I understand trends in data use among staff and postgraduate students.@3@1@2@True@False@False@True
g22user_story_1282_AND_user_story_1283@28@g22@1282@As a data manager, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@1283@As an IT staff member, I want to #know# which ###kind of data types### will be #produced# or #collected#, so that I can ensure that the necessary technical resources and technical #know#-how is available.@3@3@0@True@False@False@False
g22user_story_1284_AND_user_story_1286@29@g22@1284@As an IT staff member, I want to know how the data is used, so that I can determine what kind of basic services and functionalities are required.@1286@As an IT staff member, I want to know which formats are used, so that I can determine what kind of technical services and functionalities are required.@1@0@1@False@False@True@False
g22user_story_1284_AND_user_story_1287@30@g22@1284@As an IT staff member, I want to know how the data is used, so that I can determine what kind of basic services and functionalities are required.@1287@As an IT staff member, I want to know with which software or technology the data is produced or used, so that I can determine what kind of technical services and functionalities are required.@2@0@2@False@False@True@False
g22user_story_1284_AND_user_story_1291@31@g22@1284@As an IT staff member, I want to know how the data is used, so that I can determine what kind of basic services and functionalities are required.@1291@As a data manager, I want to know with which software or technology the data is produced or used, so that I know what technology or background information might be necessary to (re-)use the data.@1@0@1@False@False@True@False
g22user_story_1286_AND_user_story_1287@32@g22@1286@As an IT staff member, I want to know which formats are used, so that I can determine what kind of technical services and functionalities are required.@1287@As an IT staff member, I want to know with which software or technology the data is produced or used, so that I can determine what kind of technical services and functionalities are required.@2@0@2@False@False@True@False
g22user_story_1286_AND_user_story_1289@33@g22@1286@As an IT staff member, I want to #know# which ##formats## are #used#, so that I can determine what kind of technical services and functionalities are required.@1289@As a data manager, I want to #know# which ##formats## are #used#, so that I #know# what technology or background information might be necessary to use the data.@2@2@0@True@False@False@False
g22user_story_1287_AND_user_story_1291@34@g22@1287@As an IT staff member, I want to ##know## with which #software# or #technology# the data is produced or used, so that I can determine what kind of technical services and functionalities are required.@1291@As a data manager, I want to ##know## with which #software# or #technology# the data is produced or used, so that I ##know## what #technology# or background information might be necessary to (re-)use the data.@5@3@2@True@False@True@False
g22user_story_1288_AND_user_story_1303@35@g22@1288@As a data manager, I want to know which information is necessary to re-use the data, so that it can be checked whether all necessary information is available for researchers interested in re-using the data.@1303@As a data manager, I want to clarify the necessary rights for re-using the data, so that it is legal to reuse the data.@1@0@1@False@False@True@False
g22user_story_1289_AND_user_story_1291@36@g22@1289@As a data manager, I want to know which formats are used, so that I know what technology or background information might be necessary to use the data.@1291@As a data manager, I want to know with which software or technology the data is produced or used, so that I know what technology or background information might be necessary to (re-)use the data.@1@0@1@False@False@True@False
g22user_story_1289_AND_user_story_1304@37@g22@1289@As a data manager, I want to know which formats are used, so that I know what technology or background information might be necessary to use the data.@1304@As a researcher, I want to record my intention to share data I have collected under terms of a particular licence, so that other researchers who use the data understand the rights of use.@1@0@1@False@False@True@False
g22user_story_1294_AND_user_story_1296@38@g22@1294@As a data manager, I want to #know# the #security requirements# of the data, so that I can check whether the data can be kept secure.@1296@As an institutional data manager, I want to #know# about the privacy and #security requirements# of the data, so that I can plan the right storage system and sharing permissions.@2@2@0@True@False@False@False
g22user_story_1297_AND_user_story_1298@39@g22@1297@As a researcher, I want to #see# the #sections# on costing by other researchers in my department, so that I can #see# if we could share data manager posts.@1298@As a researcher, I want to #see# the #sections# on roles submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@4@2@2@True@False@True@False
g22user_story_1297_AND_user_story_1299@40@g22@1297@As a researcher, I want to #see# the #sections# on costing by other researchers in my department, so that I can #see# if we could share data manager posts.@1299@As a researcher, I want to #see# the #sections# on responsibilities submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@4@2@2@True@False@True@False
g22user_story_1297_AND_user_story_1300@41@g22@1297@As a researcher, I want to #see# the #sections# on costing by other researchers in my department, so that I can #see# if we could share data manager posts.@1300@As a faculty data steward, I want to #see# the #sections# on costing, so that I can ensure sufficient expertise on data management to support the project.@2@2@0@True@False@False@False
g22user_story_1297_AND_user_story_1301@42@g22@1297@As a researcher, I want to #see# the #sections# on costing by other researchers in my department, so that I can #see# if we could share data manager posts.@1301@As a faculty data steward, I want to #see# the #sections# on roles, so that I can ensure sufficient expertise on data management to support the project.@1@1@0@True@False@False@False
g22user_story_1297_AND_user_story_1302@43@g22@1297@As a researcher, I want to #see# the #sections# on costing by other researchers in my department, so that I can #see# if we could share data manager posts.@1302@As a faculty data steward, I want to #see# the #sections# on responsibilities, so that I can ensure sufficient expertise on data management to support the project.@1@1@0@True@False@False@False
g22user_story_1298_AND_user_story_1299@44@g22@1298@As a researcher, I want to #see# the #sections# on roles submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@1299@As a researcher, I want to #see# the #sections# on responsibilities submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@4@2@2@True@False@True@False
g22user_story_1298_AND_user_story_1300@45@g22@1298@As a researcher, I want to #see# the #sections# on roles submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@1300@As a faculty data steward, I want to #see# the #sections# on costing, so that I can ensure sufficient expertise on data management to support the project.@1@1@0@True@False@False@False
g22user_story_1298_AND_user_story_1301@46@g22@1298@As a researcher, I want to #see# the #sections# on roles submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@1301@As a faculty data steward, I want to #see# the #sections# on roles, so that I can ensure sufficient expertise on data management to support the project.@2@2@0@True@False@False@False
g22user_story_1298_AND_user_story_1302@47@g22@1298@As a researcher, I want to #see# the #sections# on roles submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@1302@As a faculty data steward, I want to #see# the #sections# on responsibilities, so that I can ensure sufficient expertise on data management to support the project.@1@1@0@True@False@False@False
g22user_story_1299_AND_user_story_1300@48@g22@1299@As a researcher, I want to #see# the #sections# on responsibilities submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@1300@As a faculty data steward, I want to #see# the #sections# on costing, so that I can ensure sufficient expertise on data management to support the project.@1@1@0@True@False@False@False
g22user_story_1299_AND_user_story_1301@49@g22@1299@As a researcher, I want to #see# the #sections# on responsibilities submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@1301@As a faculty data steward, I want to #see# the #sections# on roles, so that I can ensure sufficient expertise on data management to support the project.@1@1@0@True@False@False@False
g22user_story_1299_AND_user_story_1302@50@g22@1299@As a researcher, I want to #see# the #sections# on responsibilities submitted by other researchers in my department, so that I can #see# if we could share data manager posts.@1302@As a faculty data steward, I want to #see# the #sections# on responsibilities, so that I can ensure sufficient expertise on data management to support the project.@2@2@0@True@False@False@False
g22user_story_1300_AND_user_story_1301@51@g22@1300@As a faculty data steward, I want to #see# the #sections# on costing, so that I can ensure sufficient expertise on data management to support the project.@1301@As a faculty data steward, I want to #see# the #sections# on roles, so that I can ensure sufficient expertise on data management to support the project.@6@2@4@True@False@False@True
g22user_story_1300_AND_user_story_1302@52@g22@1300@As a faculty data steward, I want to #see# the #sections# on costing, so that I can ensure sufficient expertise on data management to support the project.@1302@As a faculty data steward, I want to #see# the #sections# on responsibilities, so that I can ensure sufficient expertise on data management to support the project.@5@1@4@True@False@False@True
g22user_story_1301_AND_user_story_1302@53@g22@1301@As a faculty data steward, I want to #see# the #sections# on roles, so that I can ensure sufficient expertise on data management to support the project.@1302@As a faculty data steward, I want to #see# the #sections# on responsibilities, so that I can ensure sufficient expertise on data management to support the project.@5@1@4@True@False@False@True
