g19user_story_1021_AND_user_story_1036@0@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1027@23@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1068@24@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1075@25@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1076@26@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1077@27@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1078@28@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1098@29@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1098@As an OlderPerson, I want to #have# #ALFRED# to enable me to #have# face to face contacts as well, so that I do not just #have# virtual contacts over #ALFRED#.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1107@30@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1107@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's blood pressure.@1@1@0@True@False@False@True
g19user_story_1026_AND_user_story_1108@31@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1108@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's body temperature.@1@1@0@True@False@False@True
g19user_story_1026_AND_user_story_1109@32@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1109@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's heart rate.@1@1@0@True@False@False@True
g19user_story_1026_AND_user_story_1110@33@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1110@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's breathing frequency.@1@1@0@True@False@False@True
g19user_story_1026_AND_user_story_1113@34@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1113@As a SocialCaregiver, I want to #have# #ALFRED# to be able to recognize pain and or stress by using skin conduction sensors.@1@1@0@True@False@False@True
g19user_story_1026_AND_user_story_1115@35@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1115@As an OlderPerson, I want to #have# #ALFRED# to give me goals and missions that encourage me to do new activities and exercises and to go out.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1116@36@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1116@As an OlderPerson, I want to #have# #ALFRED# to set limits in the games duration as I get bored easily.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1121@37@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1121@As an OlderPerson, I want to #have# #ALFRED# to remind me to keep a good body posture.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1122@38@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1122@As a MedicalCaregiver, I want to #have# #ALFRED# to remind people to exercise regularly.@1@1@0@True@False@False@True
g19user_story_1026_AND_user_story_1126@39@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1126@As a MedicalCaregiver, I want to #have# #ALFRED# to offer training for specific muscle groups.@1@1@0@True@False@False@True
g19user_story_1026_AND_user_story_1128@40@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1128@As an OlderPerson, I want to #have# #ALFRED# to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me.@2@2@0@True@False@False@True
g19user_story_1026_AND_user_story_1129@41@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1129@As a MedicalCaregiver, I want to #have# #ALFRED# to propose me games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs.@1@1@0@True@False@False@True
g19user_story_1026_AND_user_story_1134@42@g19@1026@As an OlderPerson, I want to #have# #ALFRED# on all my computers, tablets and phone.@1134@As a MedicalCaregiver, I want to #have# #ALFRED# to propose training that promotes complex thinking.@1@1@0@True@False@False@True
g19user_story_1027_AND_user_story_1068@43@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1075@44@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1076@45@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1077@46@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1078@47@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1098@48@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1098@As an OlderPerson, I want to #have# #ALFRED# to enable me to #have# face to face contacts as well, so that I do not just #have# virtual contacts over #ALFRED#.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1107@49@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1107@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's blood pressure.@1@1@0@True@False@False@True
g19user_story_1027_AND_user_story_1108@50@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1108@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's body temperature.@1@1@0@True@False@False@True
g19user_story_1027_AND_user_story_1109@51@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1109@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's heart rate.@1@1@0@True@False@False@True
g19user_story_1027_AND_user_story_1110@52@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1110@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's breathing frequency.@1@1@0@True@False@False@True
g19user_story_1027_AND_user_story_1113@53@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1113@As a SocialCaregiver, I want to #have# #ALFRED# to be able to recognize pain and or stress by using skin conduction sensors.@1@1@0@True@False@False@True
g19user_story_1027_AND_user_story_1115@54@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1115@As an OlderPerson, I want to #have# #ALFRED# to give me goals and missions that encourage me to do new activities and exercises and to go out.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1116@55@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1116@As an OlderPerson, I want to #have# #ALFRED# to set limits in the games duration as I get bored easily.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1121@56@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1121@As an OlderPerson, I want to #have# #ALFRED# to remind me to keep a good body posture.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1122@57@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1122@As a MedicalCaregiver, I want to #have# #ALFRED# to remind people to exercise regularly.@1@1@0@True@False@False@True
g19user_story_1027_AND_user_story_1126@58@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1126@As a MedicalCaregiver, I want to #have# #ALFRED# to offer training for specific muscle groups.@1@1@0@True@False@False@True
g19user_story_1027_AND_user_story_1128@59@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1128@As an OlderPerson, I want to #have# #ALFRED# to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me.@2@2@0@True@False@False@True
g19user_story_1027_AND_user_story_1129@60@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1129@As a MedicalCaregiver, I want to #have# #ALFRED# to propose me games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs.@1@1@0@True@False@False@True
g19user_story_1027_AND_user_story_1134@61@g19@1027@As an OlderPerson, I want to #have# #ALFRED# on a bracelet or a necklace, so that I can always wear him with me.@1134@As a MedicalCaregiver, I want to #have# #ALFRED# to propose training that promotes complex thinking.@1@1@0@True@False@False@True
g19user_story_1029_AND_user_story_1030@62@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@2@2@0@False@True@False@True
g19user_story_1029_AND_user_story_1031@63@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@2@2@0@True@False@False@True
g19user_story_1029_AND_user_story_1038@64@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@2@2@0@True@False@False@True
g19user_story_1029_AND_user_story_1039@65@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@2@2@0@False@True@False@True
g19user_story_1029_AND_user_story_1040@66@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@2@2@0@False@True@False@True
g19user_story_1029_AND_user_story_1041@67@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@2@2@0@False@True@False@True
g19user_story_1029_AND_user_story_1042@68@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@2@2@0@False@True@False@True
g19user_story_1029_AND_user_story_1044@69@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@2@2@0@False@True@False@True
g19user_story_1029_AND_user_story_1045@70@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@2@2@0@False@True@False@True
g19user_story_1029_AND_user_story_1049@71@g19@1029@As an OlderPerson, I want to #have# an #ALFRED device# that speaks very slowly and clearly.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@False@True@False@True
g19user_story_1030_AND_user_story_1031@72@g19@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@2@2@0@True@False@False@True
g19user_story_1030_AND_user_story_1038@73@g19@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@2@2@0@True@False@False@True
g19user_story_1030_AND_user_story_1039@74@g19@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@2@2@0@False@True@False@True
g19user_story_1030_AND_user_story_1040@75@g19@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@2@2@0@False@True@False@True
g19user_story_1030_AND_user_story_1041@76@g19@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@2@2@0@False@True@False@True
g19user_story_1030_AND_user_story_1042@77@g19@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@2@2@0@False@True@False@True
g19user_story_1030_AND_user_story_1044@78@g19@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@2@2@0@False@True@False@True
g19user_story_1030_AND_user_story_1045@79@g19@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@2@2@0@False@True@False@True
g19user_story_1030_AND_user_story_1049@80@g19@1030@As an OlderPerson, I want to #have# an #ALFRED device# that only reacts to me.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@False@True@False@True
g19user_story_1031_AND_user_story_1038@81@g19@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@2@2@0@True@False@False@True
g19user_story_1031_AND_user_story_1039@82@g19@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@2@2@0@True@False@False@True
g19user_story_1031_AND_user_story_1040@83@g19@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@1040@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual troubles.@2@2@0@True@False@False@True
g19user_story_1031_AND_user_story_1041@84@g19@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@1041@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# hearing trouble.@2@2@0@True@False@False@True
g19user_story_1031_AND_user_story_1042@85@g19@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@1042@As an OlderPerson, I want to #have# an #ALFRED device# that repeats the last phrase.@2@2@0@True@False@False@True
g19user_story_1031_AND_user_story_1044@86@g19@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@1044@As an OlderPerson, I want to #have# an #ALFRED device# that responds to the changing demand of the users by offering new Apps in the ALFREDO platform.@2@2@0@True@False@False@True
g19user_story_1031_AND_user_story_1045@87@g19@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@1045@As an OlderPerson, I want to #have# an #ALFRED device# that helps me to communicate with my friends and family.@2@2@0@True@False@False@True
g19user_story_1031_AND_user_story_1049@88@g19@1031@As an OlderPerson, I want to #have# an #ALFRED device# that only listens to me when I ask it to.@1049@As an OlderPerson, I want to #have# an #ALFRED device# that provides me with information about existing apps that corresponds to my interests.@2@2@0@True@False@False@True
g19user_story_1033_AND_user_story_1034@89@g19@1033@As an OlderPerson, I want to #buy# #ALFRED# in a senior shop with special client support.@1034@As an OlderPerson, I want to #buy# #ALFRED# for a low price.@2@2@0@True@False@False@True
g19user_story_1036_AND_user_story_1056@90@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1056@As an OlderPerson, I want to #use# #ALFRED# for navigation.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1057@91@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1057@As an OlderPerson, I want to #use# #ALFRED# for touristic walks and indications with explanations on historical and cultural sights.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1059@92@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1059@As an OlderPerson, I want to #use# #ALFRED# to see who is standing at my door and open the door.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1060@93@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1060@As an OlderPerson, I want to #use# #ALFRED# to pick the phone sooner up when I am at home.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1061@94@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1062@95@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1063@96@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1064@97@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1065@98@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1066@99@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1073@100@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1074@101@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1081@102@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1082@103@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1087@104@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1088@105@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1089@106@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1090@107@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1091@108@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1092@109@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1093@110@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1036_AND_user_story_1095@111@g19@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1038_AND_user_story_1039@112@g19@1038@As an OlderPerson, I want to #have# an #ALFRED device# that informs me about a low battery when leaving the house.@1039@As an OlderPerson, I want to #have# an #ALFRED device# that can be easily adapted for user that #have# visual or hearing troubles.@2@2@0@True@False@False@True
